month,new_cars_sold,used_cars_sold,values_new_cars_sold,value_used_cars_sold,total_cars_sold,total_value_cars_sold,inflation_rate_cpi,unemployment_rate_not_sa,unemployment_rate_sa
2002-01-01,31106,49927,755015820,386481929,81033,1141497749,2.6,5.5,5.0
2002-02-01,27520,50982,664454223,361353242,78502,1025807465,2.6,5.2,5.0
2002-03-01,34225,58794,805666244,419385387,93019,1225051631,2.4,5.1,5.0
2002-04-01,36452,59817,846368297,433061150,96269,1279429447,2.5,4.9,4.9
2002-06-01,36348,55415,830251613,414731166,91763,1244982779,2.3,5.1,4.8
2002-07-01,30367,55235,700530891,384673023,85602,1085203914,2.2,4.8,4.7
2002-08-01,38965,60310,934484212,455453720,99275,1389937932,2.4,4.7,4.6
2002-09-01,39740,55485,950502055,432112270,95225,1382614325,2.2,4.3,4.6
2002-10-01,35276,58020,865326154,456738532,93296,1322064686,2.2,4.3,4.6
2002-11-01,27812,49066,691740703,379196575,76878,1070937278,2.0,4.5,4.6
2002-12-01,26994,42461,673208880,374453368,69455,1047662248,1.9,4.3,4.6
2003-01-01,34707,49481,860730784,392438833,84188,1253169617,1.9,5.0,4.7
2003-02-01,24585,41048,615749948,323297077,65633,939047025,1.7,5.1,4.8
2003-03-01,32705,56513,791728069,413899574,89218,1205627643,1.7,5.0,4.8
2003-04-01,37682,61856,909778220,458127973,99538,1367906193,1.5,4.6,4.9
2003-06-01,38573,59904,941898387,455117890,98477,1397016277,1.5,5.3,4.9
2003-07-01,41088,62811,990041754,489374362,103899,1479416116,1.5,5.0,4.9
2003-08-01,39556,60829,985375378,460316726,100385,1445692104,1.3,4.8,4.8
2003-09-01,40464,58279,1012404987,446119525,98743,1458524512,1.2,4.5,4.8
2003-10-01,38597,62417,980365678,470520906,101014,1450886584,1.3,4.5,4.7
2003-11-01,30155,50655,779674957,385164663,80810,1164839620,1.1,4.6,4.7
2003-12-01,31668,49823,838060569,401959321,81491,1240019890,1.1,4.4,4.7
2004-01-01,33361,46427,891062280,367825717,79788,1258887997,1.1,5.0,4.6
2004-02-01,27780,50842,721703209,377496734,78622,1099199943,1.2,4.9,4.6
2004-03-01,39340,68766,975737236,502144505,108106,1477881741,1.6,4.8,4.6
2004-04-01,37478,64059,919596999,472014215,101537,1391611214,1.8,4.2,4.6
2004-06-01,42758,65073,1038212129,486125865,107831,1524337994,1.9,4.9,4.6
2004-07-01,38329,60994,958264422,474975823,99323,1433240245,1.8,4.9,4.6
2004-08-01,37175,61106,950681015,470372767,98281,1421053782,1.7,4.6,4.6
2004-09-01,38712,60238,1004251102,478484210,98950,1482735312,2.0,4.3,4.6
2004-10-01,34839,57046,913403542,452470718,91885,1365874260,2.0,4.4,4.6
2004-11-01,29859,54654,821585825,439882689,84513,1261468514,2.2,4.5,4.7
