Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2002-02-01,31106,49927,755015820,386481929,81033,,,1141497749,,,,,,,,,,
2002-03-01,27520,50982,664454223,361353242,78502,-2531.0,-3.123418854047122,1025807465,-115690284.0,-10.13495507120794,-3586.0,-11.528322510126666,-90561597.0,-11.99466217807198,1055.0,2.1130851042522103,-25128687.0,-6.501904775992773
2002-04-01,34225,58794,805666244,419385387,93019,14517.0,18.492522483503613,1225051631,199244166.0,19.423154227094663,6705.0,24.36409883720929,141212021.0,21.252332532771035,7812.0,15.323055195951518,58032145.0,16.05967188195312
2002-05-01,36452,59817,846368297,433061150,96269,3250.0,3.493909846375476,1279429447,54377816.0,4.438818301528391,2227.0,6.506939371804243,40702053.0,5.051974474929111,1023.0,1.7399734666802669,13675763.0,3.260905940912062
2002-06-01,37359,60577,855005784,442569410,97936,1667.0,1.7316062283808886,1297575194,18145747.0,1.418268669878442,907.0,2.4882036650938133,8637487.0,1.0205352717742366,760.0,1.270541819215265,9508260.0,2.1955929318526968
2002-07-01,36348,55415,830251613,414731166,91763,-6173.0,-6.303095899362853,1244982779,-52592415.0,-4.053130426906115,-1011.0,-2.7061752188227706,-24754171.0,-2.8952050925540873,-5162.0,-8.521386004589203,-27838244.0,-6.290141923726722
2002-08-01,30367,55235,700530891,384673023,85602,-6161.0,-6.714035068600632,1085203914,-159778865.0,-12.83382129416587,-5981.0,-16.454825574997244,-129720722.0,-15.6242661825458,-180.0,-0.32482179915185316,-30058143.0,-7.247620980575165
2002-09-01,38965,60310,934484212,455453720,99275,13673.0,15.9727576458494,1389937932,304734018.0,28.08080712469676,8598.0,28.313629927223637,233953321.0,33.39657451308595,5075.0,9.188014845659453,70780697.0,18.40022376614645
2002-10-01,39740,55485,950502055,432112270,95225,-4050.0,-4.07957693276253,1382614325,-7323607.0,-0.5269017293068612,775.0,1.9889644552803842,16017843.0,1.7140838544204229,-4825.0,-8.000331619963518,-23341450.0,-5.12487854968009
2002-11-01,35276,58020,865326154,456738532,93296,-1929.0,-2.025728537673932,1322064686,-60549639.0,-4.379358574922909,-4464.0,-11.233014594866631,-85175901.0,-8.961148537443197,2535.0,4.568802379021353,24626262.0,5.699042519667397
2002-12-01,27812,49066,691740703,379196575,76878,-16418.0,-17.597753387069115,1070937278,-251127408.0,-18.99509234754645,-7464.0,-21.158861548928453,-173585451.0,-20.060118395543146,-8954.0,-15.432609445018963,-77541957.0,-16.977318874423318
2003-01-01,26994,42461,673208880,374453368,69455,-7423.0,-9.655558157080046,1047662248,-23275030.0,-2.173332694466168,-818.0,-2.941176470588236,-18531823.0,-2.679012948006332,-6605.0,-13.461460074185794,-4743207.0,-1.2508570258051521
2003-02-01,34707,49481,860730784,392438833,84188,14733.0,21.21229573104888,1253169617,205507369.0,19.615803603911086,7713.0,28.573016225827953,187521904.0,27.854936197514203,7020.0,16.532818350957346,17985465.0,4.803125445516088
2003-03-01,24585,41048,615749948,323297077,65633,-18555.0,-22.03995818881551,939047025,-314122592.0,-25.066247037810207,-10122.0,-29.164145561414124,-244980836.0,-28.461958205040805,-8433.0,-17.042905357612014,-69141756.0,-17.61847966763269
2003-04-01,32705,56513,791728069,413899574,89218,23585.0,35.93466701202139,1205627643,266580618.0,28.388420484054034,8120.0,33.028269269880006,175978121.0,28.57947801239604,15465.0,37.67540440459949,90602497.0,28.02453329944583
2003-05-01,37682,61856,909778220,458127973,99538,10320.0,11.567172543657112,1367906193,162278550.0,13.460088688427652,4977.0,15.217856596850643,118050151.0,14.91044155464949,5343.0,9.45446180524836,44228399.0,10.685780266108713
2003-06-01,38472,61742,917339608,469734647,100214,676.0,0.6791376157849305,1387074255,19168062.0,1.4012702112242037,790.0,2.096491693646829,7561388.0,0.8311243151105652,-114.0,-0.18429901707190943,11606674.0,2.533500393786259
