Date,Inflation Rate,Total Wages in Maryland,GDP for Maryland State,Annual Average Pay,Average Weekly Wage,Maryland Total Workforce, Population
2002-01-01,2.4,95589510000.0,217837100000.0,39382.0,757.0,2427396.0,5440389
2003-01-01,1.4,99039956000.0,228959300000.0,40686.0,782.0,2434480.0,5496269
2004-01-01,1.8,104716511000.0,245124500000.0,42579.0,819.0,2461074.0,5546935
2005-01-01,2.2,110807924000.0,262100000000.0,44368.0,853.0,2497416.0,5592379
2006-01-01,2.5,116791342000.0,274145300000.0,46162.0,888.0,2530129.0,5627367
2007-01-01,2.3,122886661000.0,282965600000.0,48241.0,928.0,2546850.0,5653408
2008-01-01,2.3,125706584000.0,295400200000.0,49535.0,953.0,2537400.0,5684965
2009-01-01,1.7,124479932000.0,299102700000.0,50579.0,973.0,2460972.0,5730388
2010-01-01,1.0,126926286000.0,314728300000.0,51739.0,995.0,2454418.0,5788784
2011-01-01,1.7,131379799000.0,326281200000.0,53008.0,1019.0,2479122.0,5840241
2012-01-01,2.1,135717862000.0,332523500000.0,54035.0,1039.0,2514165.0,5888375
2013-01-01,1.8,136840961000.0,340577600000.0,54052.0,1039.0,2532403.0,5925197
2014-01-01,1.7,141387861000.0,352761300000.0,55389.0,1065.0,2553333.0,5960064
2015-01-01,1.8,148154201000.0,369728100000.0,57176.0,1100.0,2590860.0,5988528
2016-01-01,2.2,152655136000.0,387733400000.0,58106.0,1117.0,2626510.0,6007014
2017-01-01,1.8,158159862000.0,400157000000.0,59603.0,1146.0,2652465.0,6028186
2018-01-01,2.1,163828734000.0,410812200000.0,61151.0,1176.0,2676716.0,6042153
2019-01-01,2.2,169915698000.0,420371300000.0,62976.0,1211.0,2700377.0,6054954
2020-01-01,1.7,173067173000.0,410931000000.0,68879.0,1325.0,2516736.0,6173689
2021-01-01,3.6,185039554000.0,443929900000.0,71688.0,1379.0,2559896.0,6175045
2022-01-01,6.2,194554851000.0,470187100000.0,73667.0,1417.0,,6163981
2023-01-01,4.8,,,,,,6180253
