Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,5.5,5.2,5.1,4.9,4.7,5.1,4.8,4.7,4.3,4.3,4.5,4.3
2003,5,5.1,5,4.6,4.7,5.3,5,4.8,4.5,4.5,4.6,4.4
2004,5,4.9,4.8,4.2,4.4,4.9,4.9,4.6,4.3,4.4,4.5,4.4
2005,5,5.1,4.8,4.3,4.5,4.8,4.7,4.4,4.1,4.1,4.2,3.8
2006,4.3,4.3,3.9,3.9,4.2,4.6,4.7,4.4,4.1,3.9,4,3.8
2007,4.4,4.2,3.7,3.4,3.5,4,4,3.7,3.5,3.5,3.3,3.3
2008,3.9,3.8,3.8,3.5,4,4.6,4.7,4.8,4.7,5.1,5.4,5.8
2009,7.1,7.5,7.5,7,7.5,8,7.9,7.7,7.5,7.7,7.6,7.6
2010,8.5,8.6,8.4,7.5,7.5,7.9,8.1,8,7.5,7.4,7.6,7.2
2011,7.9,7.8,7.4,6.9,7.2,7.7,7.6,7.5,7.2,7,6.7,6.7
2012,7.3,7.3,6.9,6.4,6.7,7.3,7.3,7.1,6.5,6.6,6.5,6.6
2013,7.3,7,6.7,6.2,6.5,7,6.8,6.5,6.2,6.5,6,5.7
2014,6.3,6.3,6.1,5.3,5.7,6,6.1,5.9,5.3,5.3,5.3,5.1
2015,5.9,5.5,5.3,4.7,5.1,5.3,5.2,5,4.6,4.7,4.5,4.3
2016,4.7,4.7,4.4,4,4,4.5,4.5,4.4,4.1,4.2,4,3.9
2017,4.5,4.3,4,3.6,3.7,4.3,4.3,4.2,3.7,3.8,3.8,3.7
2018,4.4,4.4,4.1,3.5,3.6,4.2,4,3.8,3.4,3.4,3.3,3.4
2019,4.1,3.8,3.6,3,3.2,3.7,3.7,3.6,3,3.1,3,2.9
2020,3.4,3.4,4.3,8.8,9.3,8.1,7.8,7,7,6.5,6.3,6.3
2021,6.7,6.4,6.1,5.6,5.7,6.3,5.6,5.5,4.5,4.2,3.9,3.2
2022,3.8,3.7,3.3,2.9,3.1,3.7,3.4,3.5,2.9,3.1,2.8,2.5
2023,3,3.1,2.3,1.9,2.2,1.7,1.7,1.8,1.8,2.1,1.8,2.0(P)
