Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,5,5,5,4.9,4.9,4.8,4.7,4.6,4.6,4.6,4.6,4.6
2003,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7
2004,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.7
2005,4.7,4.7,4.7,4.7,4.6,4.5,4.4,4.4,4.4,4.3,4.2,4.1
2006,4.1,4,4,4.1,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.1
2007,4,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6
2008,3.6,3.6,3.7,3.8,4,4.2,4.5,4.7,5,5.3,5.7,6.2
2009,6.6,7,7.3,7.5,7.6,7.7,7.7,7.7,7.8,7.8,7.9,8
2010,8.1,8.1,8,7.9,7.9,7.8,7.7,7.7,7.7,7.7,7.7,7.6
2011,7.5,7.4,7.4,7.3,7.4,7.4,7.4,7.4,7.3,7.2,7.1,7
2012,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8
2013,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.2,6.1
2014,6.1,6,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.4
2015,5.4,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.6
2016,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.2
2017,4.1,4,4,3.9,3.9,3.9,4,4,4,4.1,4.1,4
2018,4.1,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7
2019,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.3
2020,3.4,3.5,3.5,9,8.8,8.1,7.8,7.1,7,6.7,6.6,6.7
2021,6.4,6.2,6,5.9,5.7,5.7,5.5,5.3,4.8,4.5,4.1,3.7
2022,3.7,3.4,3.2,3.1,3.1,3.2,3.2,3.4,3.2,3.2,3.1,3
2023,3,2.9,2.7,2.5,2.4,2,1.8,1.7,1.6,1.7,1.8,1.9(P)
