,Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold
0,2002-01-01,402164,656089,9572554876,4940209772
1,2003-01-01,428252,675358,10623148339,5166071497
2,2004-01-01,428508,699677,10972956024,5385548947
3,2005-01-01,421834,703835,11006733922,5639803515
4,2006-01-01,399282,696968,10411657206,5865687318
5,2007-01-01,378184,678549,9997917483,5794213869
6,2008-01-01,309159,617885,7975401987,4896167840
7,2009-01-01,248928,608889,6686217914,4510040527
8,2010-01-01,268022,626045,7460915522,5054802303
9,2011-01-01,287669,625728,8331732402,5345074083
10,2012-01-01,316762,627678,9284994339,5582127071
11,2013-01-01,335209,644755,10113490016,5976130047
12,2014-01-01,341219,656466,10577233071,6345144513
13,2015-01-01,357208,697156,11333175245,7089606958
14,2016-01-01,343238,753271,11359554563,8179372358
15,2017-01-01,329929,748511,11088229177,8073608688
16,2018-01-01,334229,748596,11457150438,8404165810
17,2019-01-01,334041,757326,11888570426,8969294701
18,2020-01-01,285480,617580,10789618470,7521311784
19,2021-01-01,305622,648386,12318885531,9532585736
20,2022-01-01,270882,574294,12174274135,9790439348
21,2023-01-01,299877,569581,13755763434,9443866909
