,Unemployment rate (not sa),Date
0,5.5,2002-01-01
1,5.2,2002-02-01
2,5.1,2002-03-01
3,4.9,2002-04-01
4,4.7,2002-05-01
5,5.1,2002-06-01
6,4.8,2002-07-01
7,4.7,2002-08-01
8,4.3,2002-09-01
9,4.3,2002-10-01
10,4.5,2002-11-01
11,4.3,2002-12-01
12,5.0,2003-01-01
13,5.1,2003-02-01
14,5.0,2003-03-01
15,4.6,2003-04-01
16,4.7,2003-05-01
17,5.3,2003-06-01
18,5.0,2003-07-01
19,4.8,2003-08-01
20,4.5,2003-09-01
21,4.5,2003-10-01
22,4.6,2003-11-01
23,4.4,2003-12-01
24,5.0,2004-01-01
25,4.9,2004-02-01
26,4.8,2004-03-01
27,4.2,2004-04-01
28,4.4,2004-05-01
29,4.9,2004-06-01
30,4.9,2004-07-01
31,4.6,2004-08-01
32,4.3,2004-09-01
33,4.4,2004-10-01
34,4.5,2004-11-01
35,4.4,2004-12-01
36,5.0,2005-01-01
37,5.1,2005-02-01
38,4.8,2005-03-01
39,4.3,2005-04-01
40,4.5,2005-05-01
41,4.8,2005-06-01
42,4.7,2005-07-01
43,4.4,2005-08-01
44,4.1,2005-09-01
45,4.1,2005-10-01
46,4.2,2005-11-01
47,3.8,2005-12-01
48,4.3,2006-01-01
49,4.3,2006-02-01
50,3.9,2006-03-01
51,3.9,2006-04-01
52,4.2,2006-05-01
53,4.6,2006-06-01
54,4.7,2006-07-01
55,4.4,2006-08-01
56,4.1,2006-09-01
57,3.9,2006-10-01
58,4.0,2006-11-01
59,3.8,2006-12-01
60,4.4,2007-01-01
61,4.2,2007-02-01
62,3.7,2007-03-01
63,3.4,2007-04-01
64,3.5,2007-05-01
65,4.0,2007-06-01
66,4.0,2007-07-01
67,3.7,2007-08-01
68,3.5,2007-09-01
69,3.5,2007-10-01
70,3.3,2007-11-01
71,3.3,2007-12-01
72,3.9,2008-01-01
73,3.8,2008-02-01
74,3.8,2008-03-01
75,3.5,2008-04-01
76,4.0,2008-05-01
77,4.6,2008-06-01
78,4.7,2008-07-01
